username,rating,text,date,thumbsUp,replyContent,replyDate,translated_text,clean_text
Pengguna Google,5,"Game nya bagus Grafik bagus, desain karakter nya bagus banget, kalau sistem Gacha nya sih gw saranin jangan sampai 3000 10x gacha soalnya terlalu besar itu, dan dari gameplay ini game ini sih yang paling gw suka😁👍",2025-10-27 15:08:10,0,,,"Game nya bagus Grafik bagus, desain karakter nya bagus banget, kalau sistem Gacha nya sih gw saranin jangan sampai 3000 10x gacha soalnya terlalu besar itu, dan dari gameplay ini game ini sih yang paling gw suka😁👍","Game nya bagus Grafik bagus, desain karakter nya bagus banget, kalau sistem Gacha nya sih gw saranin jangan sampai 3000 10x gacha soalnya terlalu besar itu, dan dari gameplay ini game ini sih yang paling gw suka😁👍"
Pengguna Google,1,"game apaan ini misinya dikit bangt, mana gacha nya harus 300 per 1X pity 120 waw, BA aja pity 200 pyro nya gak pelit ini apa wa KIKIR",2025-10-27 15:04:56,0,,,"game apaan ini misinya dikit bangt, mana gacha nya harus 300 per 1X pity 120 waw, BA aja pity 200 pyro nya gak pelit ini apa wa KIKIR","game apaan ini misinya dikit bangt, mana gacha nya harus 300 per 1X pity 120 waw, BA aja pity 200 pyro nya gak pelit ini apa wa KIKIR"
Pengguna Google,5,"Wow game ini sangat baik karena memberikan bansos sebanyak 12,8k gems serta 20tiket gacha yang bisa membantu ku untuk mendapatkan shia, terimakasih ya game baik",2025-10-27 15:04:35,0,,,"Wow game ini sangat baik karena memberikan bansos sebanyak 12,8k gems serta 20tiket gacha yang bisa membantu ku untuk mendapatkan shia, terimakasih ya game baik","Wow game ini sangat baik karena memberikan bansos sebanyak 12,8k gems serta 20tiket gacha yang bisa membantu ku untuk mendapatkan shia, terimakasih ya game baik"
Pengguna Google,5,"moga tahan lama aja ni game, seru soalnya",2025-10-27 15:04:01,0,,,"moga tahan lama aja ni game, seru soalnya","moga tahan lama aja ni game, seru soalnya"
Pengguna Google,5,lucu lucu charnya,2025-10-27 14:57:13,0,,,lucu lucu charnya,lucu lucu charnya
Pengguna Google,5,mantap,2025-10-27 14:56:02,1,,,padat,padat
Pengguna Google,4,"Plis perbanyak currency di dalam gamenya, terlalu banyak yang dibutuhkan untuk gacha",2025-10-27 14:52:23,0,,,"Plis perbanyak currency di dalam gamenya, terlalu banyak yang dibutuhkan untuk gacha","Plis perbanyak currency di dalam gamenya, terlalu banyak yang dibutuhkan untuk gacha"
Pengguna Google,4,"well, setelah menyelam lebih dalam lagi tentang stella sora ternyata game ini mengandalkan otak bukan skill karena, game ini lebih kompleks dibandingkan Blue Archive karena ada fitur main disk dan support disk yang masih bingung gimana cara kerjanya, juga karakter kita punya emblem2 tertentu yang bikin jadi bingung, tapi intinya game ini bagus banget untuk mengasah otak yang ngincer damage gede. Tambahan tolong sistem gacha di ubah dong udah bagus gamenya massa gak di ubah sistem gacha kikir ini",2025-10-27 14:41:10,1,,,"well, setelah menyelam lebih dalam lagi tentang stella sora ternyata game ini mengandalkan otak bukan skill karena, game ini lebih kompleks dibandingkan Blue Archive karena ada fitur main disk dan support disk yang masih bingung gimana cara kerjanya, juga karakter kita punya emblem2 tertentu yang bikin jadi bingung, tapi intinya game ini bagus banget untuk mengasah otak yang ngincer damage gede. Tambahan tolong sistem gacha di ubah dong udah bagus gamenya massa gak di ubah sistem gacha kikir ini","well, setelah menyelam lebih dalam lagi tentang stella sora ternyata game ini mengandalkan otak bukan skill karena, game ini lebih kompleks dibandingkan Blue Archive karena ada fitur main disk dan support disk yang masih bingung gimana cara kerjanya, juga karakter kita punya emblem2 tertentu yang bikin jadi bingung, tapi intinya game ini bagus banget untuk mengasah otak yang ngincer damage gede. Tambahan tolong sistem gacha di ubah dong udah bagus gamenya massa gak di ubah sistem gacha kikir ini"
Pengguna Google,4,"game nya bagus, tapi kalo bisa pas di story mode kasih lah voice karakter nya, biar lebih hidup gitu loh kaga bosen juga atau ga kasih b.indo dah🗿",2025-10-27 14:36:03,0,,,"gamenya bagus tapi kalau di story mode tolong dikasih suara karakternya biar lebih hidup, gak bosan atau gak suka b. indo sudah 🗿","gamenya bagus tapi kalau di story mode tolong dikasih suara karakternya biar lebih hidup, gak bosan atau gak suka b. indo sudah 🗿"
Pengguna Google,5,apa kah Game nya bisa secara open world dan multiplayer seperti isekai memiliki serikat petualangan tempat seru untuk bersaing satu sama lain dan merebut posisi top dunia? 🌏🤯🙀,2025-10-27 14:31:17,0,,,apa kah Game nya bisa secara open world dan multiplayer seperti isekai memiliki serikat petualangan tempat seru untuk bersaing satu sama lain dan merebut posisi top dunia? 🌏🤯🙀,apa kah Game nya bisa secara open world dan multiplayer seperti isekai memiliki serikat petualangan tempat seru untuk bersaing satu sama lain dan merebut posisi top dunia? 🌏🤯🙀
Pengguna Google,5,seru game nya cosette bini gw btw😂,2025-10-27 14:30:00,0,,,seru game nya cosette bini gw btw😂,seru game nya cosette bini gw btw😂
Pengguna Google,5,"Dari segi gamplay dan grafisnya udah bagus, meskipun teruntuk sekarang masih dalam masa masa awalnya permainan ini berkarir, saya harap permainan ini bisa menjadi permainan yang akan sukses besar di pasar global, seperti layaknya Blue Archive ✨✨",2025-10-27 14:27:37,0,,,"Dari segi gamplay dan grafisnya udah bagus, meskipun teruntuk sekarang masih dalam masa masa awalnya permainan ini berkarir, saya harap permainan ini bisa menjadi permainan yang akan sukses besar di pasar global, seperti layaknya Blue Archive ✨✨","Dari segi gamplay dan grafisnya udah bagus, meskipun teruntuk sekarang masih dalam masa masa awalnya permainan ini berkarir, saya harap permainan ini bisa menjadi permainan yang akan sukses besar di pasar global, seperti layaknya Blue Archive ✨✨"
Pengguna Google,1,update system gachanya,2025-10-27 14:27:08,0,,,perbarui sistem gachanya,perbarui sistem gachanya
Pengguna Google,5,please fix about the gacha coin like OBT,2025-10-27 14:25:40,0,,,tolong perbaiki tentang gacha coin seperti OBT,tolong perbaiki tentang gacha coin seperti OBT
Pengguna Google,5,"gak bisa login, sering black screen,bug nya banyak banget, saya harap di perbaiki secepatnya",2025-10-27 14:14:49,0,,,"gak bisa login, sering black screen,bug nya banyak banget, saya harap di perbaiki secepatnya","gak bisa login, sering black screen,bug nya banyak banget, saya harap di perbaiki secepatnya"
Pengguna Google,4,good game 👍,2025-10-27 13:53:21,0,,,permainan yang bagus 👍,permainan yang bagus 👍
Pengguna Google,1,1 loding game Stella sora itu hitam polos di hp saya 2 tempat untuk mengacha karakter itu hitam polos juga ada bug nya di dalam game tolong di kembangkan lagi,2025-10-27 13:38:45,93,,,1 loding game Stella sora itu hitam polos di hp saya 2 tempat untuk mengacha karakter itu hitam polos juga ada bug nya di dalam game tolong di kembangkan lagi,1 loding game Stella sora itu hitam polos di hp saya 2 tempat untuk mengacha karakter itu hitam polos juga ada bug nya di dalam game tolong di kembangkan lagi
Pengguna Google,5,yang ini nih aku suka hadiah dari game ya bukan kayak game sebelah kasih hadiah gratis tapi harus nyicil tiap hari biar dapat,2025-10-27 13:36:25,0,,,yang ini nih aku suka hadiah dari game ya bukan kayak game sebelah kasih hadiah gratis tapi harus nyicil tiap hari biar dapat,yang ini nih aku suka hadiah dari game ya bukan kayak game sebelah kasih hadiah gratis tapi harus nyicil tiap hari biar dapat
Pengguna Google,2,please fix the gacha system 3k for 10x? damn can it be less? likes 2k or 2.5k? also I'm having trouble to get resource because the boss too difficult,2025-10-27 13:24:18,0,,,"tolong perbaiki sistem gacha 3k sebanyak 10x? sial, bisakah lebih sedikit? suka 2k atau 2,5k? saya juga kesulitan mendapatkan resource karena bossnya terlalu sulit","tolong perbaiki sistem gacha 3k sebanyak 10x? sial, bisakah lebih sedikit? suka 2k atau 2,5k? saya juga kesulitan mendapatkan resource karena bossnya terlalu sulit"
Pengguna Google,3,90 pull cuma dapet b4 butuh 120 pull dapet b5 tapi bisa gk dapet yang limit 3000 10 pull berat sulit dapet diamond nya terpaksa dihapus,2025-10-27 13:24:11,0,,,90 pull cuma dapet b4 butuh 120 pull dapet b5 tapi bisa gk dapet yang limit 3000 10 pull berat sulit dapet diamond nya terpaksa dihapus,90 pull cuma dapet b4 butuh 120 pull dapet b5 tapi bisa gk dapet yang limit 3000 10 pull berat sulit dapet diamond nya terpaksa dihapus
Pengguna Google,1,kikir,2025-10-27 13:22:58,0,,,pelit,pelit
Pengguna Google,5,Mantap untuk sudah noticed,2025-10-27 13:18:13,1,,,Mantap untuk sudah noticed,Mantap untuk sudah noticed
Pengguna Google,5,chill and good game,2025-10-27 13:13:19,0,,,santai dan permainan bagus,santai dan permainan bagus
Pengguna Google,1,"Strange game with 4G network still lagging, tired of repeating it, please fix the developer again ngentoddddddd",2025-10-27 12:53:25,0,,,"Game aneh dengan jaringan 4G masih lag, capek diulang-ulang, tolong developernya diperbaiki lagi ngentoddddddd","Game aneh dengan jaringan 4G masih lag, capek diulang-ulang, tolong developernya diperbaiki lagi ngentoddddddd"
Pengguna Google,5,"gamenya seru.. kasih bintang 5 agar ga buriq"" amat ratingnya😌 mohon dengarkan kata"" players ya.. harga gacha di turunin 3000>1500.. tolong tambahkan sistem(sekali gagal mendapat karakter banner, di 5* berikutnya jaminan dapat character banner tersebut).. banyakin bansos, karna baru rilis.. dan konsumsi energinya mohon di kurangin, 20-30 turunin 10-20 okelah.. dan sistem copyright yg di alami content creator. mohon di kurangin, beri peringatan untuk yg makai di luar bermain game StellaSora",2025-10-27 12:50:50,0,,,"gamenya seru.. kasih bintang 5 agar ga buriq"" amat ratingnya😌 mohon dengarkan kata"" players ya.. harga gacha di turunin 3000>1500.. tolong tambahkan sistem(sekali gagal mendapat karakter banner, di 5* berikutnya jaminan dapat character banner tersebut).. banyakin bansos, karna baru rilis.. dan konsumsi energinya mohon di kurangin, 20-30 turunin 10-20 okelah.. dan sistem copyright yg di alami content creator. mohon di kurangin, beri peringatan untuk yg makai di luar bermain game StellaSora","gamenya seru.. kasih bintang 5 agar ga buriq"" amat ratingnya😌 mohon dengarkan kata"" players ya.. harga gacha di turunin 3000>1500.. tolong tambahkan sistem(sekali gagal mendapat karakter banner, di 5* berikutnya jaminan dapat character banner tersebut).. banyakin bansos, karna baru rilis.. dan konsumsi energinya mohon di kurangin, 20-30 turunin 10-20 okelah.. dan sistem copyright yg di alami content creator. mohon di kurangin, beri peringatan untuk yg makai di luar bermain game StellaSora"
Pengguna Google,5,buat yang liat komen ini sebenarnya top up yang $100 tanpa bonus itu dapat 8500+5100 jadi jangan salah informasi dulu ya teman teman,2025-10-27 12:48:51,1,,,buat yang liat komen ini sebenarnya top up yang $100 tanpa bonus itu dapat 8500+5100 jadi jangan salah informasi dulu ya teman teman,buat yang liat komen ini sebenarnya top up yang $100 tanpa bonus itu dapat 8500+5100 jadi jangan salah informasi dulu ya teman teman
Pengguna Google,3,"please give us very low graphic, and off for skill effect and number off damage",2025-10-27 12:47:49,0,,,"tolong beri kami grafik yang sangat rendah, dan matikan untuk efek keterampilan dan jumlah kerusakan","tolong beri kami grafik yang sangat rendah, dan matikan untuk efek keterampilan dan jumlah kerusakan"
Pengguna Google,1,"Hey, could you guys make a special stage like ""annihilation"" in Arknights that's more useful than your apology gifts? You are not solving the main problem.",2025-10-27 12:47:43,11,,,"Hei, bisakah kalian membuat panggung spesial seperti ""pemusnahan"" di Arknights yang lebih berguna daripada hadiah permintaan maafmu? Anda tidak menyelesaikan masalah utama.","Hei, bisakah kalian membuat panggung spesial seperti ""pemusnahan"" di Arknights yang lebih berguna daripada hadiah permintaan maafmu? Anda tidak menyelesaikan masalah utama."
Pengguna Google,1,Game yang kekikiran nya setingkat dewa Zeus.,2025-10-27 12:47:18,0,,,Game yang kekikiran nya setingkat dewa Zeus.,Game yang kekikiran nya setingkat dewa Zeus.
Pengguna Google,5,game gacha paling goblok,2025-10-27 12:45:43,0,,,game gacha paling goblok,game gacha paling goblok
Pengguna Google,3,fix ur gacha spend if this game want live longer,2025-10-27 12:37:40,0,,,perbaiki pembelanjaan gacha Anda jika game ini ingin hidup lebih lama,perbaiki pembelanjaan gacha Anda jika game ini ingin hidup lebih lama
Pengguna Google,5,"cukup bisa mengisi waktu luang, bagus😁 masalah gacha lihat dulu beberapa bulan jelek atau enggak sistemnya. kalau bagus top up karakter yang penting penting aja, kalau semua diincar ya pasti kesusahan karna ini game gacha.",2025-10-27 12:34:40,0,,,"cukup bisa mengisi waktu luang, bagus😁 masalah gacha lihat dulu beberapa bulan jelek atau enggak sistemnya. kalau bagus top up karakter yang penting penting aja, kalau semua diincar ya pasti kesusahan karna ini game gacha.","cukup bisa mengisi waktu luang, bagus😁 masalah gacha lihat dulu beberapa bulan jelek atau enggak sistemnya. kalau bagus top up karakter yang penting penting aja, kalau semua diincar ya pasti kesusahan karna ini game gacha."
Pengguna Google,3,sistem gacha yang sangat mahal,2025-10-27 12:31:00,0,,,sistem gacha yang sangat mahal,sistem gacha yang sangat mahal
Pengguna Google,1,"semuanya bagus, tapi tidak dengan gachanya, sudah ada sistem rate off rate on, gacha 3000 / 10pull, mencari crystal untuk gacha saja sudah sangat sulit, developer, saya kecewa untuk game yg saya tunggu tunggu ini",2025-10-27 12:26:59,0,,,"semuanya bagus, tapi tidak dengan gachanya, sudah ada sistem rate off rate on, gacha 3000 / 10pull, mencari crystal untuk gacha saja sudah sangat sulit, developer, saya kecewa untuk game yg saya tunggu tunggu ini","semuanya bagus, tapi tidak dengan gachanya, sudah ada sistem rate off rate on, gacha 3000 / 10pull, mencari crystal untuk gacha saja sudah sangat sulit, developer, saya kecewa untuk game yg saya tunggu tunggu ini"
Pengguna Google,3,"the gacha still suck, give me gothic loli i'll give you 5 star",2025-10-27 12:22:36,0,,,"gachanya masih jelek, beri aku gothic loli aku akan memberimu 5 bintang","gachanya masih jelek, beri aku gothic loli aku akan memberimu 5 bintang"
Pengguna Google,5,"perbanyak reward, supaya f2p betah.",2025-10-27 12:22:27,0,,,"perbanyak reward, supaya f2p betah.","perbanyak reward, supaya f2p betah."
Pengguna Google,5,gameplay lumayan bagus tapi tolong perbaiki sistem gacha yostar! yang kemahalan.tolong yostar segera tanggapi keluhan player nya.semoga game ini tidak tutup nya.🙂,2025-10-27 12:21:23,0,,,gameplay lumayan bagus tapi tolong perbaiki sistem gacha yostar! yang kemahalan.tolong yostar segera tanggapi keluhan player nya.semoga game ini tidak tutup nya.🙂,gameplay lumayan bagus tapi tolong perbaiki sistem gacha yostar! yang kemahalan.tolong yostar segera tanggapi keluhan player nya.semoga game ini tidak tutup nya.🙂
Pengguna Google,5,"gamenya sudah mulai bagus, cuma tolong perbaiki lagi masalah jaringan dan juga terkadang aku tiba-tiba keluar dari apk nya. jadi itu saja dariku 🙏",2025-10-27 12:16:06,0,,,"gamenya sudah mulai bagus, cuma tolong perbaiki lagi masalah jaringan dan juga terkadang aku tiba-tiba keluar dari apk nya. jadi itu saja dariku 🙏","gamenya sudah mulai bagus, cuma tolong perbaiki lagi masalah jaringan dan juga terkadang aku tiba-tiba keluar dari apk nya. jadi itu saja dariku 🙏"
Pengguna Google,5,bagus cuman minus sistem gacha,2025-10-27 12:10:03,0,,,bagus cuman minus sistem gacha,bagus cuman minus sistem gacha
Pengguna Google,5,"overall gua suka, minus di gacha aja gak ngotak",2025-10-27 12:04:26,0,,,"overlall like, minus di gachha aja dak ngkak","overlall like, minus di gachha aja dak ngkak"
Pengguna Google,5,mantap yostar😹,2025-10-27 11:55:31,0,,,mantap yostar😹,mantap yostar😹
Pengguna Google,1,perbaiki sistem gacha nya dlu lah,2025-10-27 11:51:56,0,,,perbaiki sistem gacha nya dlu lah,perbaiki sistem gacha nya dlu lah
Pengguna Google,5,bagus,2025-10-27 11:41:25,0,,,bagus,bagus
Pengguna Google,1,"ini developer nya terus aja ngasih bansos, sengaja banget buat pengalihan isu biar player-player gak protes sama sistem gacha nya yang busuk. padahal kan yang diminta player sistem gacha nya yang dibenerin.. emang rakus banget ni developer, gak sekalian rate nya lebih dikecilin sama harga gacha nya dinaikin lagi? biar makin untung kan??",2025-10-27 11:28:20,0,,,"ini developer nya terus aja ngasih bansos, sengaja banget buat pengalihan isu biar player-player gak protes sama sistem gacha nya yang busuk. padahal kan yang diminta player sistem gacha nya yang dibenerin.. emang rakus banget ni developer, gak sekalian rate nya lebih dikecilin sama harga gacha nya dinaikin lagi? biar makin untung kan??","ini developer nya terus aja ngasih bansos, sengaja banget buat pengalihan isu biar player-player gak protes sama sistem gacha nya yang busuk. padahal kan yang diminta player sistem gacha nya yang dibenerin.. emang rakus banget ni developer, gak sekalian rate nya lebih dikecilin sama harga gacha nya dinaikin lagi? biar makin untung kan??"
Pengguna Google,5,No komen,2025-10-27 11:24:59,0,,,Tidak ada komentar,Tidak ada komentar
Pengguna Google,5,game baik,2025-10-27 11:23:19,0,,,game baik,game baik
Pengguna Google,1,pelit,2025-10-27 11:15:07,0,,,permainan,permainan
Pengguna Google,5,"Mendingan lah dikasih reward jangka pendek, tapi jangan sampai terlena dengan tujuan utama. yaitu menurunkan currency system gacha nya yang mahal",2025-10-27 11:10:18,0,,,"Mendingan lah dikasih reward jangka pendek, tapi jangan sampai terlena dengan tujuan utama. yaitu menurunkan currency system gacha nya yang mahal","Mendingan lah dikasih reward jangka pendek, tapi jangan sampai terlena dengan tujuan utama. yaitu menurunkan currency system gacha nya yang mahal"
Pengguna Google,4,"masih susah, tapi dapat bansos dan mendengar suara playernya bagus lah kasih segini dulu.",2025-10-27 11:09:40,1,,,"masih susah, tapi dapat bansos dan mendengar suara playernya bagus lah kasih segini dulu.","masih susah, tapi dapat bansos dan mendengar suara playernya bagus lah kasih segini dulu."
Pengguna Google,2,sebenernya gameplaynya bagus + ada disc + L2D tetapi yng jafi problemnya adalah sistem rewardnya yang terlalu hard untuk F2P. terlebih top upnya g sampai 10× gacha. Untuk gacha ya seusai kehokian masing2 jadi jgn maki2 klo hokinya ampas 🗿,2025-10-27 11:07:08,0,,,sebenernya gameplaynya bagus + ada disc + L2D tetapi yng jafi problemnya adalah sistem rewardnya yang terlalu hard untuk F2P. terlebih top upnya g sampai 10× gacha. Untuk gacha ya seusai kehokian masing2 jadi jgn maki2 klo hokinya ampas 🗿,sebenernya gameplaynya bagus + ada disc + L2D tetapi yng jafi problemnya adalah sistem rewardnya yang terlalu hard untuk F2P. terlebih top upnya g sampai 10× gacha. Untuk gacha ya seusai kehokian masing2 jadi jgn maki2 klo hokinya ampas 🗿
Pengguna Google,4,"gamenya bagus dan grafiknya oke, tapi tolong rate untuk mendapatkan karakter bintang 5 dinaikkan supaya player Stella sora bisa senang, bansosnya diperbanyak, dan saat aku main gamenya agak patah-patah/ngeleg jadi tolong diperbaiki juga",2025-10-27 11:02:38,0,,,"gamenya bagus dan grafiknya oke, tapi tolong rate untuk mendapatkan karakter bintang 5 dinaikkan supaya player Stella sora bisa senang, bansosnya diperbanyak, dan saat aku main gamenya agak patah-patah/ngeleg jadi tolong diperbaiki juga","gamenya bagus dan grafiknya oke, tapi tolong rate untuk mendapatkan karakter bintang 5 dinaikkan supaya player Stella sora bisa senang, bansosnya diperbanyak, dan saat aku main gamenya agak patah-patah/ngeleg jadi tolong diperbaiki juga"
Pengguna Google,1,"Very bad customization, in-game always disconnects which makes the playing feeling uncomfortable and emotional, try to fix it and listen to the players if you want your game not to be a DEAD GAME.",2025-10-27 11:02:22,0,,,"Kustomisasi yang sangat buruk, in-game selalu terputus-putus yang membuat perasaan bermain tidak nyaman dan emosional, coba perbaiki dan dengarkan para pemain jika ingin game Anda tidak menjadi DEAD GAME.","Kustomisasi yang sangat buruk, in-game selalu terputus-putus yang membuat perasaan bermain tidak nyaman dan emosional, coba perbaiki dan dengarkan para pemain jika ingin game Anda tidak menjadi DEAD GAME."
Pengguna Google,5,sistem gacha nya ubah lah masa 10 spin 3000 genshin aja ga segitu 😑,2025-10-27 11:01:02,0,,,sistem gacha berubah periode 10 3000 genshin aja geustu 😑,sistem gacha berubah periode 10 3000 genshin aja geustu 😑
Pengguna Google,5,"Game baik gini kirik darimana nya😍 yang bilang kirik-kirik pasti ga main Semtella Sora, cobain brok game seasik Semtella sora yakali dibiarin di playstor😤 harus di donglod, apalagi Mc nya sangat sangat CNNY😭😭😭😭😭😭😭😭😭😭😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭",2025-10-27 10:52:02,0,,,"Game baik gini kirik darimana nya😍 yang bilang kirik-kirik pasti ga main Semtella Sora, cobain brok game seasik Semtella sora yakali dibiarin di playstor😤 harus di donglod, apalagi Mc nya sangat sangat CNNY😭😭😭😭😭😭😭😭😭😭😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭","Game baik gini kirik darimana nya😍 yang bilang kirik-kirik pasti ga main Semtella Sora, cobain brok game seasik Semtella sora yakali dibiarin di playstor😤 harus di donglod, apalagi Mc nya sangat sangat CNNY😭😭😭😭😭😭😭😭😭😭😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭"
Pengguna Google,3,masih bug kalo mau login,2025-10-27 10:49:32,0,,,masih bug kalo mau login,masih bug kalo mau login
Pengguna Google,5,gem baik (oke skrng kasih saya disc chitose dan shia),2025-10-27 10:44:17,0,,,permata yang bagus (oke sekarang tolong beri saya disc chitose dan syiah),permata yang bagus (oke sekarang tolong beri saya disc chitose dan syiah)
Pengguna Google,5,game 😀,2025-10-27 10:30:40,2,,,permainan 😀,permainan 😀
Pengguna Google,3,"Masih Gua Pantau ! Tolong utk total 10x Gacha jng 3000 Dust, klo bisa setengahnya atau 1000 Dust saja !!",2025-10-27 10:30:22,1,,,"Masih Gua Pantau ! Tolong utk total 10x Gacha jng 3000 Dust, klo bisa setengahnya atau 1000 Dust saja !!","Masih Gua Pantau ! Tolong utk total 10x Gacha jng 3000 Dust, klo bisa setengahnya atau 1000 Dust saja !!"
Pengguna Google,1,currency gacha ny mahal,2025-10-27 10:29:26,0,,,berikan setiap hari,berikan setiap hari
Pengguna Google,5,mulai nda kikir tawa,2025-10-27 10:27:29,2,,,mulai nda kikir tawa,mulai nda kikir tawa
Pengguna Google,5,"Game bagus, story gw demen. UI-nya juga bersih rapih banget👌",2025-10-27 10:11:01,0,,,"Game bagus, story gw demen. UI-nya juga bersih rapih banget👌","Game bagus, story gw demen. UI-nya juga bersih rapih banget👌"
Pengguna Google,3,tolong turunkan harga gachanya🙏🏻,2025-10-27 10:10:22,0,,,tolong turunkan harga gacha 🙏🏻,tolong turunkan harga gacha 🙏🏻
Pengguna Google,5,"Stella Sora adalah game RPG dengan grafis indah, karakter menarik, dan gameplay strategis yang memuaskan. Setiap pertarungan terasa dinamis dengan animasi halus serta sistem elemen yang menuntut strategi. Ceritanya dalam dan penuh misteri, didukung musik epik yang memperkuat suasana. Interaksi antar karakter juga terasa hidup, membuat pemain betah menjelajahi dunia fantasinya. Secara keseluruhan, Stella Sora layak mendapat rating tinggi.",2025-10-27 10:10:10,0,,,"Stella Sora adalah game RPG dengan grafis indah, karakter menarik, dan gameplay strategis yang memuaskan. Setiap pertarungan terasa dinamis dengan animasi halus serta sistem elemen yang menuntut strategi. Ceritanya dalam dan penuh misteri, didukung musik epik yang memperkuat suasana. Interaksi antar karakter juga terasa hidup, membuat pemain betah menjelajahi dunia fantasinya. Secara keseluruhan, Stella Sora layak mendapat rating tinggi.","Stella Sora adalah game RPG dengan grafis indah, karakter menarik, dan gameplay strategis yang memuaskan. Setiap pertarungan terasa dinamis dengan animasi halus serta sistem elemen yang menuntut strategi. Ceritanya dalam dan penuh misteri, didukung musik epik yang memperkuat suasana. Interaksi antar karakter juga terasa hidup, membuat pemain betah menjelajahi dunia fantasinya. Secara keseluruhan, Stella Sora layak mendapat rating tinggi."
Pengguna Google,5,MANTAP,2025-10-27 10:09:53,0,,,PADAT,PADAT
Pengguna Google,5,"kaga jadi bintang 1 gara gara karakter, bansos, music, style pertarungan, grafik jebol parah.",2025-10-27 10:09:18,1,,,"kaga jadi bintang 1 gara gara karakter, bansos, music, style pertarungan, grafik jebol parah.","kaga jadi bintang 1 gara gara karakter, bansos, music, style pertarungan, grafik jebol parah."
Pengguna Google,5,nice udah tobat,2025-10-27 10:03:12,0,,,nice udah tobat,nice udah tobat
Pengguna Google,4,karena gw dah hoki tak kasih b4 aja hehe.,2025-10-27 09:55:46,0,,,karena gw dah hoki tak kasih b4 aja hehe.,karena gw dah hoki tak kasih b4 aja hehe.
