username,rating,text,date,thumbsUp,replyContent,replyDate,translated_text,clean_text,sentiment,word_count
Pengguna Google,4,"well, setelah menyelam lebih dalam lagi tentang stella sora ternyata game ini mengandalkan otak bukan skill karena, game ini lebih kompleks dibandingkan Blue Archive karena ada fitur main disk dan support disk yang masih bingung gimana cara kerjanya, juga karakter kita punya emblem2 tertentu yang bikin jadi bingung, tapi intinya game ini bagus banget untuk mengasah otak yang ngincer damage gede. Tambahan tolong sistem gacha di ubah dong udah bagus gamenya massa gak di ubah sistem gacha kikir ini",2025-10-27 14:41:10,1,,,"well, setelah menyelam lebih dalam lagi tentang stella sora ternyata game ini mengandalkan otak bukan skill karena, game ini lebih kompleks dibandingkan Blue Archive karena ada fitur main disk dan support disk yang masih bingung gimana cara kerjanya, juga karakter kita punya emblem2 tertentu yang bikin jadi bingung, tapi intinya game ini bagus banget untuk mengasah otak yang ngincer damage gede. Tambahan tolong sistem gacha di ubah dong udah bagus gamenya massa gak di ubah sistem gacha kikir ini",well selam lebih lagi stella sora nyata game andal otak bukan skill game lebih kompleks banding blue archive ada fitur main disk support disk masih bingung gimana cara kerja karakter punya emblem tentu bikin jadi bingung inti game bagus banget asah otak ngincer damage gede tambah sistem gacha ubah dong udah bagus gamenya massa gak ubah sistem gacha kikir,Positif,79
Pengguna Google,4,"game nya bagus, tapi kalo bisa pas di story mode kasih lah voice karakter nya, biar lebih hidup gitu loh kaga bosen juga atau ga kasih b.indo dah🗿",2025-10-27 14:36:03,0,,,"gamenya bagus tapi kalau di story mode tolong dikasih suara karakternya biar lebih hidup, gak bosan atau gak suka b. indo sudah 🗿",game nya bagus kalo pas story mode kasih lah voice karakter nya biar lebih hidup gitu loh kaga bosen atau ga kasih b indo dah,Positif,23
Pengguna Google,5,apa kah Game nya bisa secara open world dan multiplayer seperti isekai memiliki serikat petualangan tempat seru untuk bersaing satu sama lain dan merebut posisi top dunia? 🌏🤯🙀,2025-10-27 14:31:17,0,,,apa kah Game nya bisa secara open world dan multiplayer seperti isekai memiliki serikat petualangan tempat seru untuk bersaing satu sama lain dan merebut posisi top dunia? 🌏🤯🙀,apa game nya cara open world multiplayer isekai milik serikat tualang tempat seru saing satu sama dan rebut posisi top dunia,Positif,28
Pengguna Google,5,seru game nya cosette bini gw btw😂,2025-10-27 14:30:00,0,,,seru game nya cosette bini gw btw😂,seru game nya cosette bini gw btw,Positif,7
Pengguna Google,5,"Dari segi gamplay dan grafisnya udah bagus, meskipun teruntuk sekarang masih dalam masa masa awalnya permainan ini berkarir, saya harap permainan ini bisa menjadi permainan yang akan sukses besar di pasar global, seperti layaknya Blue Archive ✨✨",2025-10-27 14:27:37,0,,,"Dari segi gamplay dan grafisnya udah bagus, meskipun teruntuk sekarang masih dalam masa masa awalnya permainan ini berkarir, saya harap permainan ini bisa menjadi permainan yang akan sukses besar di pasar global, seperti layaknya Blue Archive ✨✨",segi gamplay grafis udah bagus meski untuk sekarang dalam masa masa awal main berkarir harap main bisa jadi main akan sukses besar pasar global layak blue archive,Positif,37
Pengguna Google,1,update system gachanya,2025-10-27 14:27:08,0,,,perbarui sistem gachanya,update system gachanya,Negatif,3
Pengguna Google,5,please fix about the gacha coin like OBT,2025-10-27 14:25:40,0,,,tolong perbaiki tentang gacha coin seperti OBT,please fix about the gacha coin like obt,Positif,7
Pengguna Google,5,"gak bisa login, sering black screen,bug nya banyak banget, saya harap di perbaiki secepatnya",2025-10-27 14:14:49,0,,,"gak bisa login, sering black screen,bug nya banyak banget, saya harap di perbaiki secepatnya",gak login sering black screen bug nya banyak banget harap baik cepat,Positif,14
Pengguna Google,4,good game 👍,2025-10-27 13:53:21,0,,,permainan yang bagus 👍,good game,Positif,4
Pengguna Google,1,1 loding game Stella sora itu hitam polos di hp saya 2 tempat untuk mengacha karakter itu hitam polos juga ada bug nya di dalam game tolong di kembangkan lagi,2025-10-27 13:38:45,93,,,1 loding game Stella sora itu hitam polos di hp saya 2 tempat untuk mengacha karakter itu hitam polos juga ada bug nya di dalam game tolong di kembangkan lagi,loding game stella sora hitam polos hp tempat mengacha karakter hitam polos ada bug nya dalam game di kembang,Negatif,30
Pengguna Google,5,yang ini nih aku suka hadiah dari game ya bukan kayak game sebelah kasih hadiah gratis tapi harus nyicil tiap hari biar dapat,2025-10-27 13:36:25,0,,,yang ini nih aku suka hadiah dari game ya bukan kayak game sebelah kasih hadiah gratis tapi harus nyicil tiap hari biar dapat,ini nih aku suka hadiah game bukan kayak game belah kasih hadiah gratis harus nyicil tiap hari biar,Positif,23
Pengguna Google,2,please fix the gacha system 3k for 10x? damn can it be less? likes 2k or 2.5k? also I'm having trouble to get resource because the boss too difficult,2025-10-27 13:24:18,0,,,"tolong perbaiki sistem gacha 3k sebanyak 10x? sial, bisakah lebih sedikit? suka 2k atau 2,5k? saya juga kesulitan mendapatkan resource karena bossnya terlalu sulit",please fix the gacha system k for x damn can it be less likes k or k also i m having trouble to get resource because the boss too difficult,Negatif,24
Pengguna Google,3,90 pull cuma dapet b4 butuh 120 pull dapet b5 tapi bisa gk dapet yang limit 3000 10 pull berat sulit dapet diamond nya terpaksa dihapus,2025-10-27 13:24:11,0,,,90 pull cuma dapet b4 butuh 120 pull dapet b5 tapi bisa gk dapet yang limit 3000 10 pull berat sulit dapet diamond nya terpaksa dihapus,pull cuma dapet b butuh pull dapet b bisa gk dapet limit pull berat sulit dapet diamond nya paksa hapus,Netral,26
Pengguna Google,1,kikir,2025-10-27 13:22:58,0,,,pelit,kikir,Negatif,1
Pengguna Google,5,Mantap untuk sudah noticed,2025-10-27 13:18:13,1,,,Mantap untuk sudah noticed,mantap sudah noticed,Positif,4
Pengguna Google,5,chill and good game,2025-10-27 13:13:19,0,,,santai dan permainan bagus,chill and good game,Positif,4
Pengguna Google,1,"Strange game with 4G network still lagging, tired of repeating it, please fix the developer again ngentoddddddd",2025-10-27 12:53:25,0,,,"Game aneh dengan jaringan 4G masih lag, capek diulang-ulang, tolong developernya diperbaiki lagi ngentoddddddd",strange game with g network still lagging tired of repeating it please fix the developer again ngentoddddddd,Negatif,14
Pengguna Google,5,"gamenya seru.. kasih bintang 5 agar ga buriq"" amat ratingnya😌 mohon dengarkan kata"" players ya.. harga gacha di turunin 3000>1500.. tolong tambahkan sistem(sekali gagal mendapat karakter banner, di 5* berikutnya jaminan dapat character banner tersebut).. banyakin bansos, karna baru rilis.. dan konsumsi energinya mohon di kurangin, 20-30 turunin 10-20 okelah.. dan sistem copyright yg di alami content creator. mohon di kurangin, beri peringatan untuk yg makai di luar bermain game StellaSora",2025-10-27 12:50:50,0,,,"gamenya seru.. kasih bintang 5 agar ga buriq"" amat ratingnya😌 mohon dengarkan kata"" players ya.. harga gacha di turunin 3000>1500.. tolong tambahkan sistem(sekali gagal mendapat karakter banner, di 5* berikutnya jaminan dapat character banner tersebut).. banyakin bansos, karna baru rilis.. dan konsumsi energinya mohon di kurangin, 20-30 turunin 10-20 okelah.. dan sistem copyright yg di alami content creator. mohon di kurangin, beri peringatan untuk yg makai di luar bermain game StellaSora",gamenya seru kasih bintang ga buriq ratingnya mohon dengar kata players harga gacha turunin tambah sistem sekali gagal dapat karakter banner ikut jamin character banner sebut banyakin bansos karna baru rilis konsumsi energi mohon rangin turunin oke sistem copyright yg alami content creator mohon rangin beri ingat yg maka luar main game stellasora,Positif,71
Pengguna Google,5,buat yang liat komen ini sebenarnya top up yang $100 tanpa bonus itu dapat 8500+5100 jadi jangan salah informasi dulu ya teman teman,2025-10-27 12:48:51,1,,,buat yang liat komen ini sebenarnya top up yang $100 tanpa bonus itu dapat 8500+5100 jadi jangan salah informasi dulu ya teman teman,buat liat komen benar top up tanpa bonus dapat jadi jangan salah informasi dulu teman teman,Positif,23
Pengguna Google,3,"please give us very low graphic, and off for skill effect and number off damage",2025-10-27 12:47:49,0,,,"tolong beri kami grafik yang sangat rendah, dan matikan untuk efek keterampilan dan jumlah kerusakan",please give us very low graphic and off for skill effect and number off damage,Netral,15
Pengguna Google,1,"Hey, could you guys make a special stage like ""annihilation"" in Arknights that's more useful than your apology gifts? You are not solving the main problem.",2025-10-27 12:47:43,11,,,"Hei, bisakah kalian membuat panggung spesial seperti ""pemusnahan"" di Arknights yang lebih berguna daripada hadiah permintaan maafmu? Anda tidak menyelesaikan masalah utama.",hey could you guys make a special stage like annihilation in arknights that s more useful than your apology gifts you are not solving the main problem,Negatif,22
Pengguna Google,1,Game yang kekikiran nya setingkat dewa Zeus.,2025-10-27 12:47:18,0,,,Game yang kekikiran nya setingkat dewa Zeus.,game kikir nya tingkat dewa zeus,Negatif,7
Pengguna Google,5,game gacha paling goblok,2025-10-27 12:45:43,0,,,game gacha paling goblok,game gacha paling goblok,Positif,4
Pengguna Google,3,fix ur gacha spend if this game want live longer,2025-10-27 12:37:40,0,,,perbaiki pembelanjaan gacha Anda jika game ini ingin hidup lebih lama,fix ur gacha spend if this game want live longer,Netral,11
Pengguna Google,5,"cukup bisa mengisi waktu luang, bagus😁 masalah gacha lihat dulu beberapa bulan jelek atau enggak sistemnya. kalau bagus top up karakter yang penting penting aja, kalau semua diincar ya pasti kesusahan karna ini game gacha.",2025-10-27 12:34:40,0,,,"cukup bisa mengisi waktu luang, bagus😁 masalah gacha lihat dulu beberapa bulan jelek atau enggak sistemnya. kalau bagus top up karakter yang penting penting aja, kalau semua diincar ya pasti kesusahan karna ini game gacha.",cukup isi waktu luang bagus masalah gacha lihat dulu beberapa bulan jelek enggak sistem kalau bagus top up karakter penting penting aja kalau semua incar pasti susah karna game gacha,Positif,35
Pengguna Google,3,sistem gacha yang sangat mahal,2025-10-27 12:31:00,0,,,sistem gacha yang sangat mahal,sistem gacha sangat mahal,Netral,5
Pengguna Google,1,"semuanya bagus, tapi tidak dengan gachanya, sudah ada sistem rate off rate on, gacha 3000 / 10pull, mencari crystal untuk gacha saja sudah sangat sulit, developer, saya kecewa untuk game yg saya tunggu tunggu ini",2025-10-27 12:26:59,0,,,"semuanya bagus, tapi tidak dengan gachanya, sudah ada sistem rate off rate on, gacha 3000 / 10pull, mencari crystal untuk gacha saja sudah sangat sulit, developer, saya kecewa untuk game yg saya tunggu tunggu ini",semua bagus tidak gachanya ada sistem rate off rate on gacha pull cari crystal gacha sudah sangat sulit developer kecewa game yg tunggu tunggu,Negatif,35
Pengguna Google,3,"the gacha still suck, give me gothic loli i'll give you 5 star",2025-10-27 12:22:36,0,,,"gachanya masih jelek, beri aku gothic loli aku akan memberimu 5 bintang",the gacha still suck give me gothic loli i ll give you star,Netral,12
Pengguna Google,5,"perbanyak reward, supaya f2p betah.",2025-10-27 12:22:27,0,,,"perbanyak reward, supaya f2p betah.",banyak reward fp betah,Positif,5
Pengguna Google,5,gameplay lumayan bagus tapi tolong perbaiki sistem gacha yostar! yang kemahalan.tolong yostar segera tanggapi keluhan player nya.semoga game ini tidak tutup nya.🙂,2025-10-27 12:21:23,0,,,gameplay lumayan bagus tapi tolong perbaiki sistem gacha yostar! yang kemahalan.tolong yostar segera tanggapi keluhan player nya.semoga game ini tidak tutup nya.🙂,gameplay lumayan bagus baik sistem gacha yostar mahal tolong yostar segera tanggap keluh player nya moga game tidak tutup nya,Positif,22
Pengguna Google,5,"gamenya sudah mulai bagus, cuma tolong perbaiki lagi masalah jaringan dan juga terkadang aku tiba-tiba keluar dari apk nya. jadi itu saja dariku 🙏",2025-10-27 12:16:06,0,,,"gamenya sudah mulai bagus, cuma tolong perbaiki lagi masalah jaringan dan juga terkadang aku tiba-tiba keluar dari apk nya. jadi itu saja dariku 🙏",gamenya mulai bagus cuma baik masalah jaring juga terkadang aku tiba tiba keluar apk nya jadi saja dari,Positif,24
Pengguna Google,5,bagus cuman minus sistem gacha,2025-10-27 12:10:03,0,,,bagus cuman minus sistem gacha,bagus cuman minus sistem gacha,Positif,5
Pengguna Google,5,"overall gua suka, minus di gacha aja gak ngotak",2025-10-27 12:04:26,0,,,"overlall like, minus di gachha aja dak ngkak",overall gua suka minus gacha aja gak ngotak,Positif,8
Pengguna Google,5,mantap yostar😹,2025-10-27 11:55:31,0,,,mantap yostar😹,mantap yostar,Positif,2
Pengguna Google,1,perbaiki sistem gacha nya dlu lah,2025-10-27 11:51:56,0,,,perbaiki sistem gacha nya dlu lah,baik sistem gacha nya dlu lah,Negatif,6
Pengguna Google,5,bagus,2025-10-27 11:41:25,0,,,bagus,bagus,Positif,1
Pengguna Google,1,"ini developer nya terus aja ngasih bansos, sengaja banget buat pengalihan isu biar player-player gak protes sama sistem gacha nya yang busuk. padahal kan yang diminta player sistem gacha nya yang dibenerin.. emang rakus banget ni developer, gak sekalian rate nya lebih dikecilin sama harga gacha nya dinaikin lagi? biar makin untung kan??",2025-10-27 11:28:20,0,,,"ini developer nya terus aja ngasih bansos, sengaja banget buat pengalihan isu biar player-player gak protes sama sistem gacha nya yang busuk. padahal kan yang diminta player sistem gacha nya yang dibenerin.. emang rakus banget ni developer, gak sekalian rate nya lebih dikecilin sama harga gacha nya dinaikin lagi? biar makin untung kan??",developer nya terus aja ngasih bansos sengaja banget buat alih isu biar player player gak protes sama sistem gacha nya busuk padahal kan minta player sistem gacha nya dibenerin emang rakus banget ni developer gak sekali rate nya lebih dikecilin sama harga gacha nya dinaikin biar makin untung kan,Negatif,53
Pengguna Google,5,No komen,2025-10-27 11:24:59,0,,,Tidak ada komentar,no komen,Positif,3
Pengguna Google,5,game baik,2025-10-27 11:23:19,0,,,game baik,game baik,Positif,2
Pengguna Google,1,pelit,2025-10-27 11:15:07,0,,,permainan,pelit,Negatif,1
Pengguna Google,5,"Mendingan lah dikasih reward jangka pendek, tapi jangan sampai terlena dengan tujuan utama. yaitu menurunkan currency system gacha nya yang mahal",2025-10-27 11:10:18,0,,,"Mendingan lah dikasih reward jangka pendek, tapi jangan sampai terlena dengan tujuan utama. yaitu menurunkan currency system gacha nya yang mahal",mending lah kasih reward jangka pendek jangan lena tuju utama turun currency system gacha nya mahal,Positif,21
Pengguna Google,4,"masih susah, tapi dapat bansos dan mendengar suara playernya bagus lah kasih segini dulu.",2025-10-27 11:09:40,1,,,"masih susah, tapi dapat bansos dan mendengar suara playernya bagus lah kasih segini dulu.",susah dapat bansos dengar suara playernya bagus lah kasih gin dulu,Positif,14
Pengguna Google,2,sebenernya gameplaynya bagus + ada disc + L2D tetapi yng jafi problemnya adalah sistem rewardnya yang terlalu hard untuk F2P. terlebih top upnya g sampai 10× gacha. Untuk gacha ya seusai kehokian masing2 jadi jgn maki2 klo hokinya ampas 🗿,2025-10-27 11:07:08,0,,,sebenernya gameplaynya bagus + ada disc + L2D tetapi yng jafi problemnya adalah sistem rewardnya yang terlalu hard untuk F2P. terlebih top upnya g sampai 10× gacha. Untuk gacha ya seusai kehokian masing2 jadi jgn maki2 klo hokinya ampas 🗿,sebenernya gameplaynya bagus disc ld yng jafi problem sistem rewardnya terlalu hard fp lebih top upnya g gacha gacha usai hoki masing jadi jgn maki klo hoki ampas,Negatif,40
Pengguna Google,4,"gamenya bagus dan grafiknya oke, tapi tolong rate untuk mendapatkan karakter bintang 5 dinaikkan supaya player Stella sora bisa senang, bansosnya diperbanyak, dan saat aku main gamenya agak patah-patah/ngeleg jadi tolong diperbaiki juga",2025-10-27 11:02:38,0,,,"gamenya bagus dan grafiknya oke, tapi tolong rate untuk mendapatkan karakter bintang 5 dinaikkan supaya player Stella sora bisa senang, bansosnya diperbanyak, dan saat aku main gamenya agak patah-patah/ngeleg jadi tolong diperbaiki juga",gamenya bagus grafik oke rate dapat karakter bintang naik player stella sora senang bansosnya banyak saat aku main gamenya patah patah ngeleg jadi tolong baik,Positif,33
Pengguna Google,1,"Very bad customization, in-game always disconnects which makes the playing feeling uncomfortable and emotional, try to fix it and listen to the players if you want your game not to be a DEAD GAME.",2025-10-27 11:02:22,0,,,"Kustomisasi yang sangat buruk, in-game selalu terputus-putus yang membuat perasaan bermain tidak nyaman dan emosional, coba perbaiki dan dengarkan para pemain jika ingin game Anda tidak menjadi DEAD GAME.",very bad customization in game always disconnects which makes the playing feeling uncomfortable and emotional try to fix it and listen to the players if you want your game not to be a dead game,Negatif,29
Pengguna Google,5,sistem gacha nya ubah lah masa 10 spin 3000 genshin aja ga segitu 😑,2025-10-27 11:01:02,0,,,sistem gacha berubah periode 10 3000 genshin aja geustu 😑,sistem gacha nya ubah lah masa spin genshin aja ga segitu,Positif,10
Pengguna Google,5,"Game baik gini kirik darimana nya😍 yang bilang kirik-kirik pasti ga main Semtella Sora, cobain brok game seasik Semtella sora yakali dibiarin di playstor😤 harus di donglod, apalagi Mc nya sangat sangat CNNY😭😭😭😭😭😭😭😭😭😭😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭",2025-10-27 10:52:02,0,,,"Game baik gini kirik darimana nya😍 yang bilang kirik-kirik pasti ga main Semtella Sora, cobain brok game seasik Semtella sora yakali dibiarin di playstor😤 harus di donglod, apalagi Mc nya sangat sangat CNNY😭😭😭😭😭😭😭😭😭😭😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭💢😭",game baik gin kirik darimana nya bilang kirik kirik ga main semtella sora cobain brok game seasik semtella sora yakali dibiarin playstor di donglod mc nya sangat sangat cnny,Positif,33
Pengguna Google,3,masih bug kalo mau login,2025-10-27 10:49:32,0,,,masih bug kalo mau login,bug kalo mau login,Netral,5
Pengguna Google,5,gem baik (oke skrng kasih saya disc chitose dan shia),2025-10-27 10:44:17,0,,,permata yang bagus (oke sekarang tolong beri saya disc chitose dan syiah),gem baik oke skrng kasih disc chitose shia,Positif,12
Pengguna Google,5,game 😀,2025-10-27 10:30:40,2,,,permainan 😀,game,Positif,2
Pengguna Google,3,"Masih Gua Pantau ! Tolong utk total 10x Gacha jng 3000 Dust, klo bisa setengahnya atau 1000 Dust saja !!",2025-10-27 10:30:22,1,,,"Masih Gua Pantau ! Tolong utk total 10x Gacha jng 3000 Dust, klo bisa setengahnya atau 1000 Dust saja !!",gua pantau utk total x gacha jng dust klo tengah dust,Netral,20
Pengguna Google,1,currency gacha ny mahal,2025-10-27 10:29:26,0,,,berikan setiap hari,currency gacha ny mahal,Negatif,3
Pengguna Google,5,mulai nda kikir tawa,2025-10-27 10:27:29,2,,,mulai nda kikir tawa,mulai nda kikir tawa,Positif,4
Pengguna Google,5,"Game bagus, story gw demen. UI-nya juga bersih rapih banget👌",2025-10-27 10:11:01,0,,,"Game bagus, story gw demen. UI-nya juga bersih rapih banget👌",game bagus story gw demen ui nya bersih rapih banget,Positif,10
Pengguna Google,3,tolong turunkan harga gachanya🙏🏻,2025-10-27 10:10:22,0,,,tolong turunkan harga gacha 🙏🏻,turun harga gachanya,Netral,5
Pengguna Google,5,"Stella Sora adalah game RPG dengan grafis indah, karakter menarik, dan gameplay strategis yang memuaskan. Setiap pertarungan terasa dinamis dengan animasi halus serta sistem elemen yang menuntut strategi. Ceritanya dalam dan penuh misteri, didukung musik epik yang memperkuat suasana. Interaksi antar karakter juga terasa hidup, membuat pemain betah menjelajahi dunia fantasinya. Secara keseluruhan, Stella Sora layak mendapat rating tinggi.",2025-10-27 10:10:10,0,,,"Stella Sora adalah game RPG dengan grafis indah, karakter menarik, dan gameplay strategis yang memuaskan. Setiap pertarungan terasa dinamis dengan animasi halus serta sistem elemen yang menuntut strategi. Ceritanya dalam dan penuh misteri, didukung musik epik yang memperkuat suasana. Interaksi antar karakter juga terasa hidup, membuat pemain betah menjelajahi dunia fantasinya. Secara keseluruhan, Stella Sora layak mendapat rating tinggi.",stella sora game rpg grafis indah karakter tarik gameplay strategis muas tarung asa dinamis animasi halus sistem elemen tuntut strategi cerita dan penuh misteri dukung musik epik kuat suasana interaksi antar karakter asa hidup buat main betah jajah dunia fantasi seluruh stella sora layak dapat rating tinggi,Positif,59
Pengguna Google,5,MANTAP,2025-10-27 10:09:53,0,,,PADAT,mantap,Positif,1
Pengguna Google,5,"kaga jadi bintang 1 gara gara karakter, bansos, music, style pertarungan, grafik jebol parah.",2025-10-27 10:09:18,1,,,"kaga jadi bintang 1 gara gara karakter, bansos, music, style pertarungan, grafik jebol parah.",kaga jadi bintang gara gara karakter bansos music style tarung grafik jebol parah,Positif,14
Pengguna Google,5,nice udah tobat,2025-10-27 10:03:12,0,,,nice udah tobat,nice udah tobat,Positif,3
Pengguna Google,4,karena gw dah hoki tak kasih b4 aja hehe.,2025-10-27 09:55:46,0,,,karena gw dah hoki tak kasih b4 aja hehe.,gw dah hoki tak kasih b aja hehe,Positif,9
Pengguna Google,5,"game nya bagus, btw kalo udah upgrade chitose sampe lv 90, apakah bakalan dapet awaken nya yg versi pake baju putih itu yg kayak di banner nya?",2025-10-27 09:48:46,0,,,"gamenya bagus, btw kalau upgrade chitose ke lv 90 bakal dapet versi baju putih yang ada di banner?",game nya bagus btw kalo udah upgrade chitose sampe lv bakal dapet awaken nya yg versi pake baju putih yg kayak banner nya,Positif,18
Pengguna Google,5,untuk sekarang udah lumayan... kalo bisa gacha dikurangin 10x gacha 1500,2025-10-27 09:47:39,0,,,untuk sekarang udah lumayan... kalo bisa gacha dikurangin 10x gacha 1500,sekarang udah lumayan kalo gacha rangin x gacha,Positif,11
Pengguna Google,4,Gamenya dah bagus tapi cuman Gachanya terlalu mahal,2025-10-27 09:41:45,0,,,Gamenya dah bagus tapi cuman Gachanya terlalu mahal,gamenya dah bagus cuman gachanya terlalu mahal,Positif,8
Pengguna Google,5,yang sbr developer ny,2025-10-27 09:36:59,0,,,yang sbr developer ny,sbr developer ny,Positif,4
Pengguna Google,5,oke grafik mantep 👍👍👍,2025-10-27 09:25:46,0,,,oke grafik mantep 👍👍👍,oke grafik mantep,Positif,4
Pengguna Google,1,"fix the gacha system, and reduce the use of vigor in the game",2025-10-27 09:15:55,0,,,"memperbaiki sistem gacha, dan mengurangi penggunaan vigor dalam game",fix the gacha system and reduce the use of vigor in the game,Negatif,9
Pengguna Google,5,i love so much this game. thanks dev,2025-10-27 09:02:57,0,,,saya sangat menyukai permainan ini. terima kasih dev,i love so much this game thanks dev,Positif,8
Pengguna Google,2,gameplay udah bagus tapi tolong dong Gacha nya jangan kemahalan 😭😭,2025-10-27 08:42:51,0,,,gameplay udah bagus tapi tolong dong Gacha nya jangan kemahalan 😭😭,gameplay udah bagus tolong dong gacha nya jangan mahal,Negatif,11
